-46.70816,-23.416553
-46.708195,-23.416551
-46.708214,-23.416549
-46.708241,-23.416523
-46.708317,-23.416449
-46.708355,-23.416412
-46.708358,-23.416409
-46.708511,-23.41626
-46.708565,-23.416206
-46.708584,-23.416188
-46.708606,-23.416158
-46.708652,-23.416091
-46.708698,-23.416026
-46.708749,-23.415946
-46.708826,-23.415824
-46.708887,-23.415736
-46.709033,-23.415527
-46.709094,-23.415426
-46.709288,-23.415108
-46.709329,-23.415021
-46.709352,-23.414974
-46.709359,-23.414908
-46.709391,-23.414632
-46.70939,-23.414604
-46.709382,-23.414471
-46.709383,-23.414267
-46.709384,-23.414069
-46.709384,-23.414047
-46.709385,-23.413844
-46.709385,-23.413705
-46.709385,-23.413627
-46.709381,-23.413568
-46.70937,-23.41343
-46.709361,-23.41332
-46.709359,-23.413306
-46.709319,-23.413164
-46.709261,-23.412958
-46.709256,-23.412898
-46.70924,-23.41269
-46.709235,-23.412624
-46.709229,-23.412578
-46.709202,-23.412356
-46.709203,-23.412337
-46.709219,-23.412001
-46.709236,-23.411911
-46.709307,-23.411511
-46.709325,-23.41144
-46.709363,-23.411289
-46.709375,-23.411128
-46.709364,-23.410833
-46.709364,-23.410831
-46.709342,-23.410643
-46.709323,-23.410472
-46.709322,-23.410393
-46.709319,-23.410231
-46.709316,-23.4102
-46.709295,-23.40997
-46.709293,-23.409955
-46.709278,-23.409789
-46.709279,-23.40978
-46.709297,-23.409555
-46.709339,-23.409427
-46.709445,-23.409232
-46.709475,-23.409185
-46.709594,-23.408995
-46.709635,-23.408805
-46.709642,-23.408774
-46.709639,-23.408532
-46.709639,-23.408492
-46.709636,-23.408313
-46.709636,-23.408292
-46.709634,-23.408166
-46.709634,-23.408117
-46.709655,-23.407979
-46.709684,-23.407797
-46.709718,-23.407752
-46.709787,-23.40766
-46.709874,-23.407546
-46.710011,-23.407292
-46.710031,-23.407256
-46.710122,-23.407088
-46.710225,-23.406897
-46.710289,-23.406778
-46.710362,-23.406643
-46.710461,-23.40646
-46.710529,-23.406334
-46.710589,-23.406224
-46.710689,-23.40617
-46.710885,-23.406168
-46.710908,-23.40617
-46.711067,-23.406186
-46.711366,-23.406316
-46.711449,-23.40637
-46.711622,-23.406481
-46.711744,-23.406539
-46.711931,-23.406628
-46.711977,-23.40665
-46.71198,-23.406651
-46.712021,-23.406666
-46.712231,-23.406739
-46.712315,-23.406768
-46.712454,-23.406821
-46.712628,-23.406888
-46.712708,-23.406918
-46.712798,-23.406941
-46.712995,-23.406992
-46.71313,-23.407027
-46.713163,-23.40704
-46.713418,-23.407143
-46.713422,-23.407145
-46.713701,-23.407383
-46.713803,-23.407408
-46.714151,-23.407386
-46.714303,-23.407376
-46.714473,-23.407374
-46.71452,-23.407374
-46.714744,-23.407427
-46.714819,-23.407444
-46.714845,-23.407447
-46.714938,-23.407457
-46.714942,-23.407457
-46.715218,-23.407487
-46.715536,-23.407488
-46.715682,-23.407488
-46.715855,-23.407457
-46.715914,-23.407446
-46.716196,-23.407369
-46.716292,-23.40732
-46.716306,-23.407313
-46.716346,-23.407292
-46.716383,-23.407273
-46.716419,-23.407247
-46.71654,-23.407158
-46.716643,-23.407082
-46.71667,-23.407062
-46.716738,-23.407022
-46.716786,-23.406993
-46.716846,-23.406957
-46.716933,-23.406905
-46.717004,-23.406862
-46.717023,-23.406851
